1571295893,1,0,0,"C4,C8,C5,C2;DA,D7,DK,D4;CQ,C7,SQ,C9;S5,S2,S9,S6;HA,C6,SK,C10;HJ,H7,H9,H2;CA,S4,S3,S8;H8,SJ,S7,S10;HQ,H5,H3,H4;D10,CJ,H10,H6;SA,D2,DJ,D5;DQ,CK,D6,C3;D3,D9,D8,HK"
1571295893,1,9,0,"CQ,C9,CJ,C2;S9,SA,SQ,S3;S4,SJ,SK,S5;S7,HA,S6,S2;H9,H4,HQ,H2;DA,HK,S8,S10;D6,D2,D7,D3;HJ,H3,H10,H5;D4,D5,D10,D9;CA,H7,DQ,H6;C8,C6,DK,H8;C3,DJ,C7,C10;C4,D8,C5,CK"
1571295893,1,7,0,"C10,C6,CA,C2;SQ,S7,S9,S6;CK,C7,C5,C4;SA,S8,SK,S2;S10,DA,S3,S4;CJ,S5,CQ,C3;HA,C9,HQ,SJ;H10,H5,H6,H2;DQ,D5,D7,D2;HJ,H7,DK,H3;C8,D6,D3,D4;HK,D9,H9,D8;H8,D10,H4,DJ"
