1571372458,0,6,1,"C10,CQ,CA,C2;S6,S10,SQ,S2;H9,S8,S9,S7;SJ,H3,SA,S3;H10,H8,C8,H2;DA,C5,SK,S5;C9,HK,C4,S4;HJ,H5,C3,H4;H7,DK,HQ,H6;D9,CJ,DQ,HA;D8,D5,DJ,D7;CK,D4,D10,D2;D6,C6,D3,C7"
1571372458,0,14,1,"C5,C3,C6,C2;C10,C8,C7,C4;SK,S5,SJ,S2;CJ,SA,CQ,C9;DA,S3,S8,S4;S6,HJ,SQ,S7;HA,H6,H10,H2;S10,H5,H9,S9;H3,H4,H7,H8;DK,DQ,DJ,HQ;D10,D9,D8,HK;D7,D4,D6,CK;D3,D2,D5,CA"
1571372458,0,0,1,"C5,CA,C7,C2;S4,S7,SA,S2;D10,DK,DJ,DQ;D2,DA,D6,D3;CJ,SK,C9,C3;S8,HA,SQ,S3;S9,S10,C8,SJ;H4,HQ,H10,H2;H9,HJ,H3,S5;H7,H6,CK,S6;H5,CQ,C6,H8;D7,C10,D9,HK;D5,C4,D8,D4"
